100 meter – Elektronisk tid
rank_in_list,athlete_name,club_name,birth_date,venue_city,performance_raw
1,John Ertzgaard,Raufoss IL,18.06.1977,Oslo/Bi,10.27(+1.3)
2,Geir Moen,Moss IL,26.06.1969,Göteborg,10.32(+0.7)
3,Thomas Mellin-Olsen,IL Gular,08.11.1977,Oslo/Bi,10.39(+1.3)
4,Erik Kringeland,Haugesund IL,19.03.1977,Oslo/Bi,10.55(+1.3)
5,Kenneth Halhjem,IL Gular,10.07.1976,København,10.62(-1.1)
6,Fernando Ramirez,IL Norna-Salhus,30.05.1974,Lillehammer,10.63(+0.3)
7,Bjørn Åge Scheide,Gjøvik FIK,23.11.1973,Oslo/Bi,10.81(+1.4)
8,Trond Lindanger,Haugesund IL,20.11.1972,Egersund,10.84(+1.2)
8,Johan Syljeset,FIK Orion,21.05.1976,Oslo/Bi,10.84(+1.9)
10,Benjamin Jensen,IK Tjalve,13.04.1975,Roskilde,10.86(+1.6)
11,Quincy Douglas,IL Gular,07.09.1975,Tønsberg,10.87(-0.7)
11,Johan Sørstrønen,FIK BFG Fana,08.06.1975,Helsingborg,10.87(+1.0)
13,Thomas Green,IL Gular,20.06.1972,Fana,10.88(+1.0)
14,Tore Markussen,Bodø FIK,16.12.1976,Bodø,10.93(+0.1)
15,Ole Christian Østrem,Lillehammer IF,08.03.1979,Oslo/Bi,10.96(+0.5)
16,Thomas Lünell(DEN),Raufoss IL,20.02.1977,Lillehammer,10.97(+1.3)
17,Martin Blekkerud,Moss IL,07.08.1975,Oslo/Bi,10.98(+1.9)
18,Mariusz Musial,IL i BUL,01.01.1978,Oslo/Bi,11.02(-0.1)
19,Marcus Karlsen,IL Runar,15.02.1973,Oslo/Bi,11.03(+0.6)
20,Øystein Paulsen,IL Skjalg,09.03.1977,Oslo/Bi,11.04(+1.5)
20,Arill Larsen,Hareid IL,08.07.1970,Straumsnes,11.04(+0.6)
20,Frank Fiske,Frol IL,16.09.1975,Närpiö,11.04(+0.7)
23,Omar Ellingsen Chammas,IL i BUL,09.11.1976,Oslo/Bi,11.05(+1.9)
24,Christopher Selmer,IK Tjalve,10.05.1981,Oslo/Bi,11.06(-0.5)
24,Torleiv Hølland,Sandnes IL,27.12.1969,Egersund,11.06(+1.2)
24,Runar Heltne,IK Tjalve,21.04.1980,Oslo/Bi,11.06(+1.0)
27,Vegar Hollås,Steinkjer FIK,15.03.1977,Sandefjord,11.07(-1.6)
28,Bård Venholen,FIK Orion,11.04.1975,Oslo/Bi,11.08(+1.5)
29,Espen Rønningsland,SK Snøgg,30.04.1978,Oslo/Bi,11.10(+1.2)
30,Martin Hjelseth,IK Tjalve,12.04.1979,Tønsberg,11.11(+2.0)
31,Øystein Jonassen,IF Urædd,16.09.1980,Tønsberg,11.13(+2.0)
31,Per Øivin Sola,SK Vidar,17.06.1972,Oslo/Bi,11.13(+0.4)
33,Trond Fjeld,Søgne IL,09.02.1976,Oslo/Bi,11.14(+0.9)
33,Ådne Nerhus,IL Gular,24.05.1975,Haukås,11.14
35,Simen Andersen,FIK Orion,26.01.1982,Esbjerg,11.15
36,Bjørn Johansen,FIK Stein,17.12.1970,Narvik,11.16(+0.8)
36,Marius Heggholmen,FIK BFG Fana,01.05.1974,Uddevalla,11.16
38,Jørn Tollefsen,Moss IL,19.02.1973,Oslo/Bi,11.18(+0.9)
39,Njål Kvendseth,Tromsdalen UIL,28.11.1981,Fana,11.19
39,Remi Kopperud,Varteig IL,21.03.1972,Oslo/Bi,11.19
41,Martin Rypdal,IL i BUL Tromsø,19.05.1980,Narvik,11.22
41,Joachim Wiborg,IF Herkules,29.12.1978,Sandefjord,11.22(-0.3)
43,Stian Danielsen,Søgne IL,29.10.1979,Søgne,11.23
43,Ole Henrik Egren,IL Runar,17.05.1982,Sandefjord,11.23(+1.6)
43,Magnus Kleppe,Gloppen FIL,04.07.1965,Haukås,11.23(+2.0)
43,Andreas Kristiansen,IL Gular,18.09.1981,Fana,11.23(+1.0)
47,Stein Erik Hilmersen,SK Vidar,27.02.1980,Tønsberg,11.24(+2.0)
47,Arild Solheim,IL Fri,08.10.1975,Fana,11.24(+1.2)
49,Chisom Okeke,IK Tjalve,06.09.1982,Oslo/Bi,11.25(-0.3)
50,Bjarte Holmelid,FIK BFG Fana,15.04.1977,Lillehammer,11.26(+1.2)
50,Arjan Bos,IK Tjalve,06.04.1976,Oslo/Bi,11.26(+1.6)
52,Erlend Kolstø,Egersunds IK,06.06.1978,Lillehammer,11.27(+1.3)
