rank_in_list,athlete_name,club_name,birth_year,venue_city,performance_raw
1,Karl Johan Rasmussen,Haugesund,1973,Paris,2:15:18
2,Henrik Sandstad,SK Vidar,1973,Frankfurt,2:22:15
3,Carlos Silva de Brito,Ogndal IL,1969,Oslo,2:27:05
4,Svein-Ove Risa,Undheim IL,1974,Berlin,2:27:16
5,Jarle Risa,Undheim IL,1976,Berlin,2:27:38
6,Knut Aalien,Ringerike FIK,1968,Tromsø,2:27:48
7,Helge Hafsås,Olden IL,1966,Ålesund,2:29:29
8,Alemayehu Sitotaw,IL Varegg,1962,Paris,2:29:51
9,Dag Haugland,IL Varegg,1960,Paris,2:30:48
10,Gudmund Høst,Heming,1960,Tromsø,2:30:56
11,Egil Skarpsno,FIK Ren-Eng,1962,Tromsø,2:32:08
12,Jan Helgesen,Tjalve,1974,Tromsø,2:32:38
13,Kristen Aaby,SK Vidar,1961,Hamburg,2:32:42
14,Runar Gilberg,SK Vidar,1965,Amsterdam,2:32:49
15,John Steinar Urne,Ask IL,1967,London,2:36:58
16,Mons Bale,Balestrand IL,1955,London,2:38:02
17,Espen Stueland,Oppegård IL,1970,Karlstad,2:39:35
18,Tommy Torgersen,Lørenskog FIL,1970,Stockholm,2:39:41
19,Tom Roger Tangen,Mosjøen FIK,1969,Berlin,2:40:24
20,Ingvar Grønseth,Fræna FIK,1971,Oslo,2:41:20
21,Gudleik Husby,Stadsbygd IL,1967,Oslo,2:41:34
22,Ole Kjell Langmyren,,1961,Paris,2:41:37
23,Håvard Nordgård,,1961,Oslo,2:41:48
24,Jan Inge Dahl,Mehamn,1960,Oslo,2:41:49
25,Torfinn Torp,Oppegård IL,1952,Berlin,2:41:57
26,Jan Hoel,SK Vidar,1958,Oslo,2:42:03
27,Jan Halland,,1965,Stavanger,2:42:09
28,Karl Tunheim,Undheim IL,1975,Berlin,2:42:50
29,Charles Christiansen,IF Skarp,1955,København,2:43:19
30,Arild Tveiten,SK Vidar,1970,Oslo,2:43:30
31,Jan Birger Hansen,Avaldsnes IL,1958,Hamburg,2:43:42
32,Jan Tore Paulsen,Bjerkreim IL,1973,Stavanger,2:43:46
33,Sverre G. Brunstad,,1967,Oslo,2:43:57
34,Vidar Nilsen,,1960,Oslo,2:43:59
35,Lasse Østmo,IL Nordlys,1965,Oslo,2:44:14
36,Håkon Høst,Lyn,1956,Oslo,2:44:29
37,Roger Johansen,,1970,Alstahaug,2:45:25
38,Hans Trygve Birkeland,,1964,København,2:45:34
39,Gjermund Sørstad,Sturla,1979,Oslo,2:45:35
40,Rune Fredriksen,Mandal & Halse,1960,Mandal,2:45:57
41,Per Olav Bøyum,,1974,Bergen,2:46:02
42,Geir Skari,,1970,New York,2:46:06
43,Morten Tronbøl,Bøler IF,1970,Kongsvinger,2:46:50
44,Gløer Gløersen,Tønsberg FIK,1966,Oslo,2:46:55
44,Ole-Petter Ringnes,Moguttten IL,1965,Oslo,2:46:55
46,Børre Tollefsen,Bøler IF,1964,Oslo,2:47:06
47,Kjetil Lothe,Stegaberg IL,1977,Tromsø,2:47:21
48,Reidar Matre,,1955,København,2:47:41
49,Ross Wakelin,Hønefoss,1963,Oslo,2:47:50
50,Sverre Torgeir Mohagen,,1957,London,2:48:33
50,Ger van Graas,,1955,Rotterdam,2:48:33
52,Eiliv Gjesdal,SK Vidar,1970,Oslo,2:48:56
53,Per Gunnar Alfheim,IL Varegg,1959,Oslo,2:48:57
54,Nils Hetleflåt,Stord IL,1968,New York,2:49:08
55,Kjetil Havstein,,1972,Oslo,2:49:14
56,Erling Christiansen,Heming,1982,Tromsø,2:49:34
56,Bjørn Robstad,Otra IL,1975,New York,2:49:34
58,Keino Valstad,Bøler IF,,Oslo,2:49:37
59,Asle Foss,,1960,Hamburg,2:50:02
60,Lars Bjarne Reed,,1960,Nordmarka,2:50:34
61,Arne Håkon Vik,,1960,Oslo,2:51:10
62,Erik Bjørnstad,,1960,Tromsø,2:51:24
63,Tommy Bjørndalen,,1960,Stockholm,2:52:25
64,Sigleif Johansen,,1960,Oslo,2:52:36
